brotea1,Brown Teal,576
x00878,Mallard x Brown Teal (hybrid),577
anas1,Anas sp.,578
teal,teal sp.,579
dabduc1,dabbling duck sp.,580
pieduc1,Pink-eared Duck,581
martea1,Marbled Teal,582
pihduc1,Pink-headed Duck,583
whwduc1,White-winged Duck,584
recpoc,Red-crested Pochard,585
x00648,Mallard x Red-crested Pochard (hybrid),586
soupoc1,Southern Pochard,587
robpoc1,Rosy-billed Pochard,590
canvas,Canvasback,591
redhea,Redhead,592
x00879,Mallard x Redhead (hybrid),593
x00684,Canvasback x Redhead (hybrid),594
compoc,Common Pochard,595
x00373,Red-crested x Common Pochard (hybrid),596
rinduc,Ring-necked Duck,597
x00880,Canvasback x Ring-necked Duck (hybrid),598
x00679,Redhead x Ring-necked Duck (hybrid),599
ferduc,Ferruginous Duck,600
x00374,Red-crested Pochard x Ferruginous Duck (hybrid),601
x00764,Common Pochard x Ferruginous Duck (hybrid),602
madpoc1,Madagascar Pochard,603
baepoc1,Baer's Pochard,604
x00838,Ferruginous Duck x Baer's Pochard (hybrid),605
y00709,Ferruginous Duck/Baer's Pochard,606
wheduc1,Hardhead,607
x00912,Gray Teal x Hardhead (hybrid),608
tufduc,Tufted Duck,609
x00375,Mallard x Tufted Duck (hybrid),610
x00376,Red-crested Pochard x Tufted Duck (hybrid),611
x00683,Common Pochard x Tufted Duck (hybrid),612
x00652,Ring-necked x Tufted Duck (hybrid),613
x00839,Ferruginous x Tufted Duck (hybrid),614
nezsca1,New Zealand Scaup,615
gresca,Greater Scaup,616
x00680,Redhead x Greater Scaup (hybrid),619
x00779,Ring-necked Duck x Greater Scaup (hybrid),620
x00654,Tufted Duck x Greater Scaup (hybrid),621
lessca,Lesser Scaup,622
x00678,Redhead x Lesser Scaup (hybrid),623
x00613,Ring-necked Duck x Lesser Scaup (hybrid),624
x00653,Tufted Duck x Lesser Scaup (hybrid),625
scaup,Greater/Lesser Scaup,626
x00377,Canvasback x scaup sp. (hybrid),627
x00681,Redhead x scaup sp. (hybrid),628
x00682,Ring-necked Duck x scaup sp. (hybrid),629
tdxsca1,Tufted Duck x scaup sp. (hybrid),630
aythya1,Aythya sp.,631
steeid,Steller's Eider,632
speeid,Spectacled Eider,633
kineid,King Eider,634
x00942,Spectacled x King Eider (hybrid),635
comeid,Common Eider,636
comeid5,Common Eider (Eurasian),637
comeid6,Common Eider (Faeroe Is.),638
comeid1,Common Eider (Pacific),639
comeid2,Common Eider (Dresser's),640
comeid3,Common Eider (Northern),641
comeid4,Common Eider (Hudson Bay),642
x00881,Mallard x Common Eider (hybrid),643
eider,King/Common Eider,644
x00665,King x Common Eider (hybrid),645
eider1,eider sp.,646
harduc,Harlequin Duck,647
labduc,Labrador Duck,648
sursco,Surf Scoter,649
whwsco3,Velvet Scoter,650
whwsco2,White-winged Scoter,651
whwsco1,Stejneger's Scoter,652
x00882,Surf x White-winged Scoter (hybrid),653
whwsco,Velvet/White-winged/Stejneger's Scoter,654
whwsco4,White-winged/Stejneger's Scoter,655
blksco1,Common Scoter,656
blksco2,Black Scoter,657
dawsco,Surf/Black Scoter,658
blksco,Common/Black Scoter,659
scoter,scoter sp.,660
lotduc,Long-tailed Duck,661
buffle,Bufflehead,662
comgol,Common Goldeneye,663
x00655,Bufflehead x Common Goldeneye (hybrid),666
x00909,Bufflehead x goldeneye sp. (hybrid),667
bargol,Barrow's Goldeneye,668
cxbgol1,Common x Barrow's Goldeneye (hybrid),669
y00004,Common/Barrow's Goldeneye,670
smew,Smew,671
x00378,Common Goldeneye x Smew (hybrid),672
hoomer,Hooded Merganser,673
x00202,Wood Duck x Hooded Merganser (hybrid),674
x00424,Bufflehead x Hooded Merganser (hybrid),675
x00425,Common Goldeneye x Hooded Merganser (hybrid),676
x00426,Barrow's Goldeneye x Hooded Merganser (hybrid),677
x00631,goldeneye sp. x Hooded Merganser (hybrid),678
x00379,Smew x Hooded Merganser (hybrid),679
auimer1,Auckland Islands Merganser,680
commer,Common Merganser,681
goosan1,Common Merganser (Eurasian),682
commer1,Common Merganser (North American),685
x00840,Common Eider x Common Merganser (hybrid),686
x00726,Hooded x Common Merganser (hybrid),687
bramer1,Brazilian Merganser,688
rebmer,Red-breasted Merganser,689
x00614,Ring-necked Duck x Red-breasted Merganser (hybrid),690
x00780,Common x Red-breasted Merganser (hybrid),691
y00224,Common/Red-breasted Merganser,692
scsmer1,Scaly-sided Merganser,693
mergan1,merganser sp.,694
blhduc1,Black-headed Duck,695
masduc,Masked Duck,696
rudduc,Ruddy Duck,697
andduc1,Andean Duck,698
andduc2,Andean Duck (andina),699
rudduc2,Andean Duck (ferruginea),700
y00710,Masked/Ruddy Duck,701
whhduc1,White-headed Duck,702
x00705,Ruddy x White-headed Duck (hybrid),703
macduc1,Maccoa Duck,704
lakduc1,Lake Duck,705
y00601,Andean/Lake Duck,706
blbduc1,Blue-billed Duck,707
musduc1,Musk Duck,708
duck1,duck sp.,711
waterf1,waterfowl sp.,712
ausbrt1,Australian Brushturkey,713
watbrt1,Wattled Brushturkey,716
brubrt1,Waigeo Brushturkey,719
rebbrt1,Red-billed Brushturkey,720
bkbbrt1,Yellow-legged Brushturkey,723
bncbrt1,Red-legged Brushturkey,728
talega1,Talegalla sp.,731
mallee1,Malleefowl,732
maleo1,Maleo,733
molscr1,Moluccan Scrubfowl,734
niuscr1,Niuafoou Scrubfowl,735
micscr1,Micronesian Scrubfowl,736
nicscr1,Nicobar Scrubfowl,739
tabscr1,Tabon Scrubfowl,742
sulscr1,Sula Scrubfowl,750
tanscr1,Tanimbar Scrubfowl,751
dusscr2,Dusky Scrubfowl,752
dusscr3,Biak Scrubfowl,756
forscr1,Forsten's Scrubfowl,757
melscr1,Melanesian Scrubfowl,760
vanscr1,Vanuatu Scrubfowl,761
negscr1,New Guinea Scrubfowl,762
orfscr1,Orange-footed Scrubfowl,763
placha,Plain Chachalaca,769
grhcha1,Gray-headed Chachalaca,774
chwcha1,Chestnut-winged Chachalaca,775
ruvcha1,Rufous-vented Chachalaca,776
ruvcha2,Rufous-vented Chachalaca (Rufous-vented),777
ruvcha3,Rufous-vented Chachalaca (Rufous-tipped),778
ruhcha1,Rufous-headed Chachalaca,779
rubcha1,Rufous-bellied Chachalaca,780
wemcha1,West Mexican Chachalaca,781
chacha1,Chaco Chachalaca,782
whbcha1,White-bellied Chachalaca,785
colcha1,Colombian Chachalaca,786
specha3,Speckled Chachalaca,787
specha6,Speckled Chachalaca (Speckled),788
specha5,Speckled Chachalaca (Parana),791
specha2,East Brazilian Chachalaca,792
specha4,Scaled Chachalaca,793
varcha1,Variable Chachalaca,794
varcha3,Chestnut-headed Chachalaca,795
bubcha1,Buff-browed Chachalaca,796
chacha2,chachalaca sp.,797
batgua1,Band-tailed Guan,798
beagua1,Bearded Guan,802
baugua1,Baudo Guan,803
andgua1,Andean Guan,804
margua1,Marail Guan,810
rumgua1,Rusty-margined Guan,813
refgua1,Red-faced Guan,817
spigua1,Spix's Guan,818
spigua3,Spix's Guan (Grant's),819
spigua2,Spix's Guan (Spix's),820
y00657,Marail/Spix's Guan,824
cregua1,Crested Guan,825
caugua1,Cauca Guan,829
whwgua1,White-winged Guan,830
dulgua1,Dusky-legged Guan,831
dulgua3,Yungas Guan,834
whcgua1,White-crested Guan,835
chbgua1,Chestnut-bellied Guan,836
whbgua1,White-browed Guan,837
penelo1,Penelope sp.,838
trpgua1,Trinidad Piping-Guan,839
btpgua1,Blue-throated Piping-Guan,840
butpig1,Blue-throated Piping-Guan (Blue-throated),841
butpig2,Blue-throated Piping-Guan (White-throated),842
rtpgua1,Red-throated Piping-Guan,843
retpig2,Red-throated Piping-Guan (White-crested),844
retpig1,Red-throated Piping-Guan (Gray-crested),845
y00831,Blue-throated/Red-throated Piping-Guan,846
bfpgua1,Black-fronted Piping-Guan,847
watgua1,Wattled Guan,848
blagua1,Black Guan,849
siwgua1,Sickle-winged Guan,850
higgua1,Highland Guan,856
horgua1,Horned Guan,857
noccur1,Nocturnal Curassow,858
crecur2,Crestless Curassow,859
salcur1,Salvin's Curassow,860
rabcur2,Razor-billed Curassow,861
alacur1,Alagoas Curassow,862
helcur1,Helmeted Curassow,863
horcur2,Sira Curassow,866
horcur3,Horned Curassow,867
grecur1,Great Curassow,868
bubcur1,Blue-billed Curassow,871
yekcur1,Yellow-knobbed Curassow,872
blacur1,Black Curassow,873
watcur1,Wattled Curassow,876
bafcur1,Bare-faced Curassow,877
bafcur2,Bare-faced Curassow (Belem),878
bafcur3,Bare-faced Curassow (Bare-faced),879
rebcur1,Red-billed Curassow,882
curass1,curassow sp.,883
cracid1,Cracidae sp.,884
helgui,Helmeted Guineafowl,885
helgui2,Helmeted Guineafowl (Moroccan),886
helgui4,Helmeted Guineafowl (West African),887
helgui3,Helmeted Guineafowl (Helmeted),888
helgui5,Helmeted Guineafowl (Reichenow's),891
helgui6,Helmeted Guineafowl (Tufted),892
helgui1,Helmeted Guineafowl (Domestic type),897
whbgui1,White-breasted Guineafowl,898
blagui1,Black Guineafowl,899
vulgui1,Vulturine Guineafowl,900
plugui1,Plumed Guineafowl,901
cregui1,Crested Guineafowl,904
cregui3,Crested Guineafowl (Kenya),905
cregui2,Crested Guineafowl (Western),906
cregui4,Crested Guineafowl (Southern),909
stopar1,Stone Partridge,912
stopar2,Stone Partridge (Stone),913
stopar3,Stone Partridge (Ethiopian),914
nahfra2,Nahan's Francolin,915
tafqua1,Tawny-faced Quail,916
mouqua,Mountain Quail,920
bcwpar1,Buffy-crowned Wood-Partridge,921
ltwpar1,Long-tailed Wood-Partridge,924
bewpar1,Bearded Wood-Partridge,931
banqua1,Banded Quail,932
norbob,Northern Bobwhite,933
norbob1,Northern Bobwhite (Eastern),934
norbob2,Northern Bobwhite (graysoni/nigripectus),944
norbob3,Northern Bobwhite (pectoralis Group),947
masbob1,Northern Bobwhite (Masked),952
bltbob1,Black-throated Bobwhite,959
crebob1,Crested Bobwhite,964
crebob2,Crested Bobwhite (Spot-bellied),965
crebob3,Crested Bobwhite (Crested),972
scaqua,Scaled Quail,987
x00688,Northern Bobwhite x Scaled Quail (hybrid),992
elequa,Elegant Quail,993
calqua,California Quail,999
x00687,Scaled x California Quail (hybrid),1008
gamqua,Gambel's Quail,1009
x00689,Scaled x Gambel's Quail (hybrid),1017
y00315,California x Gambel's Quail (hybrid),1018
y00711,California/Gambel's Quail,1019
monqua,Montezuma Quail,1020
monqua1,Montezuma Quail (Montezuma),1021
monqua2,Montezuma Quail (Salle's),1025
ocequa1,Ocellated Quail,1028
sinqua1,Singing Quail,1029
mawqua1,Marbled Wood-Quail,1047
swwqua1,Spot-winged Wood-Quail,1056
bewqua1,Black-eared Wood-Quail,1059
bfwqua1,Black-fronted Wood-Quail,1062
rfwqua1,Rufous-fronted Wood-Quail,1066
chwqua1,Chestnut Wood-Quail,1069
dbwqua1,Dark-backed Wood-Quail,1070
rbwqua1,Rufous-breasted Wood-Quail,1071
tawqua1,Tacarcuna Wood-Quail,1075
gowqua1,Gorgeted Wood-Quail,1076
venwoq1,Venezuelan Wood-Quail,1077
bbwqua1,Black-breasted Wood-Quail,1078
sfwqua1,Stripe-faced Wood-Quail,1079
stwqua1,Starred Wood-Quail,1080
spwqua1,Spotted Wood-Quail,1081
woodqu1,wood-quail sp.,1082
quail1,new world quail sp.,1083
udzpar1,Udzungwa Partridge,1084
udzpar3,Udzungwa Partridge (Udzungwa),1085
udzpar2,Udzungwa Partridge (Rubeho),1086
ferpar2,Ferruginous Partridge,1087
crepar1,Crested Partridge,1091
blapar2,Black Partridge,1092
hilpar1,Hill Partridge,1095
sicpar1,Sichuan Partridge,1100
chbpar2,Chestnut-breasted Partridge,1101
whnpar2,White-necklaced Partridge,1102
rutpar1,Rufous-throated Partridge,1105
rebpar3,Red-billed Partridge,1112
chhpar1,Chestnut-headed Partridge,1113
chhpar3,Chestnut-headed Partridge (Siamese),1114
chhpar2,Chestnut-headed Partridge (Chestnut-headed),1115
haipar1,Hainan Partridge,1118
taipar1,Taiwan Partridge,1119
whcpar1,White-cheeked Partridge,1120
babpar1,Bar-backed Partridge,1121
ornpar1,Orange-necked Partridge,1125
rebpar5,Red-breasted Partridge,1126
gybpar3,Malayan Partridge,1129
gybpar5,Roll's Partridge,1130
gybpar6,Sumatran Partridge,1131
y01018,Roll's/Sumatran Partridge,1132
chbpar1,Chestnut-bellied Partridge,1133
gybpar4,Gray-breasted Partridge,1136
